"CODI_PROVINCIA","PROVINCIA","CODI_MUNICIPI","MUNICIPI","ESTACIO","CODI_CONTAMINANT","ANY","MES","DIA","H01","V01","H02","V02","H03","V03","H04","V04","H05","V05","H06","V06","H07","V07","H08","V08","H09","V09","H10","V10","H11","V11","H12","V12","H13","V13","H14","V14","H15","V15","H16","V16","H17","V17","H18","V18","H19","V19","H20","V20","H21","V21","H22","V22","H23","V23","H24","V24"
8,"Barcelona",19,"Barcelona",4,7,2023,3,1,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",4,"V",11,"V",15,"V",12,"V",8,"V",10,"V",8,"V",6,"V",7,"V",5,"V",5,"V",5,"V",4,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,3,2,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",4,"V",17,"V",35,"V",11,"V",13,"V",12,"V",7,"V",4,"V",3,"V",3,"V",3,"V",3,"V",1,"V",1,"V",3,"V",3,"V",2,"V",3,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,3,3,2,"V",1,"V",2,"V",2,"V",1,"V",1,"V",7,"V",28,"V",33,"V",46,"V",25,"V",9,"V",8,"V",5,"V",6,"V",5,"V",4,"V",5,"V",2,"V",2,"V",3,"V",9,"V",10,"V",28,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,3,4,6,"V",2,"V",5,"V",2,"V",1,"V",1,"V",1,"V",3,"V",2,"V",4,"V",3,"V",4,"V",4,"V",5,"V",3,"V",2,"V",2,"V",3,"V",7,"V",2,"V",1,"V",5,"V",4,"V",6,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,3,5,6,"V",5,"V",2,"V",1,"V",1,"V",1,"V",1,"V",2,"V",7,"V",10,"V",13,"V",7,"V",7,"V",4,"V",3,"V",2,"V",3,"V",1,"V",2,"V",2,"V",1,"V",2,"V",9,"V",4,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,3,6,1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",4,"V",23,"V",38,"V",34,"V",21,"V",8,"V",2,"V",3,"V",2,"V",1,"V",1,"V",2,"V",2,"V",1,"V",1,"V",14,"V",33,"V",13,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,3,7,14,"V",9,"V",6,"V",2,"V",1,"V",2,"V",10,"V",36,"V",76,"V",98,"V",68,"V",47,"V",15,"V",14,"V",10,"V",6,"V",3,"V",4,"V",25,"V",15,"V",34,"V",9,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,3,8,3,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",12,"V",27,"V",40,"V",30,"V",12,"V",9,"V",5,"V",6,"V",6,"V",9,"V",7,"V",5,"V",4,"V",11,"V",29,"V",7,"V",3,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,3,9,16,"V",11,"V",2,"V",1,"V",1,"V",4,"V",10,"V",3,"V",10,"V",8,"V",9,"V",25,"V",23,"V",8,"V",6,"V",5,"V",6,"V",8,"V",5,"V",8,"V",4,"V",3,"V",2,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,3,10,1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",4,"V",15,"V",3,"V",4,"V",3,"V",3,"V",3,"V",3,"V",3,"V",3,"V",2,"V",1,"V",2,"V",1,"V",1,"V",2,"V",2,"V",5,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,3,11,6,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",2,"V",3,"V",2,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,3,12,3,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",6,"V",3,"V",1,"V",1,"V",1,"V",1,"V",2,"V",3,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,3,13,3,"V",2,"V",3,"V",2,"V",1,"V",1,"V",6,"V",58,"V",53,"V",39,"V",32,"V",11,"V",7,"V",10,"V",12,"V",6,"V",4,"V",4,"V",3,"V",3,"V",1,"V",2,"V",2,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,3,14,2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",5,"V",3,"V",6,"V",4,"V",4,"V",3,"V",NA,"N",NA,"N",NA,"N",2,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,3,15,2,"V",2,"V",1,"V",1,"V",1,"V",1,"V",2,"V",5,"V",9,"V",10,"V",6,"V",5,"V",3,"V",3,"V",2,"V",2,"V",1,"V",1,"V",3,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
