"CODI_PROVINCIA","PROVINCIA","CODI_MUNICIPI","MUNICIPI","ESTACIO","CODI_CONTAMINANT","ANY","MES","DIA","H01","V01","H02","V02","H03","V03","H04","V04","H05","V05","H06","V06","H07","V07","H08","V08","H09","V09","H10","V10","H11","V11","H12","V12","H13","V13","H14","V14","H15","V15","H16","V16","H17","V17","H18","V18","H19","V19","H20","V20","H21","V21","H22","V22","H23","V23","H24","V24"
8,"Barcelona",19,"Barcelona",4,7,2023,10,1,1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",3,"V",2,"V",1,"V",1,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,10,2,4,"V",1,"V",1,"V",1,"V",1,"V",2,"V",2,"V",5,"V",11,"V",10,"V",8,"V",5,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,10,3,10,"V",1,"V",1,"V",1,"V",1,"V",1,"V",4,"V",18,"V",43,"V",45,"V",29,"V",11,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",1,"V",2,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,10,4,7,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",17,"V",14,"V",16,"V",10,"V",5,"V",9,"V",5,"V",3,"V",3,"V",3,"V",3,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,10,5,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",4,"V",23,"V",33,"V",26,"V",46,"V",20,"V",1,"V",1,"V",1,"V",2,"V",1,"V",2,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,10,6,1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",19,"V",42,"V",45,"V",16,"V",6,"V",2,"V",1,"V",1,"V",2,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,10,7,1,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",8,"V",8,"V",8,"V",3,"V",1,"V",1,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,10,8,1,"V",1,"V",1,"V",1,"V",1,"V",6,"V",1,"V",1,"V",3,"V",6,"V",7,"V",4,"V",2,"V",3,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",6,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,10,9,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",17,"V",38,"V",36,"V",22,"V",10,"V",6,"V",2,"V",2,"V",2,"V",2,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,10,10,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",13,"V",42,"V",45,"V",20,"V",18,"V",15,"V",7,"V",9,"V",3,"V",2,"V",2,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,10,11,2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",3,"V",24,"V",49,"V",42,"V",36,"V",21,"V",8,"V",2,"V",1,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,10,12,4,"V",3,"V",1,"V",1,"V",1,"V",1,"V",3,"V",1,"V",3,"V",6,"V",6,"V",4,"V",2,"V",1,"V",1,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,10,13,2,"V",3,"V",2,"V",1,"V",1,"V",3,"V",2,"V",8,"V",22,"V",26,"V",23,"V",18,"V",3,"V",2,"V",1,"V",2,"V",2,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,10,14,1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",2,"V",1,"V",2,"V",1,"V",4,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,10,15,1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",3,"V",1,"V",1,"V",1,"V",1,"V",5,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,10,16,2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",2,"V",2,"V",2,"V",NA,"N",NA,"N",2,"V",2,"V",1,"V",2,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,10,17,2,"V",1,"V",2,"V",1,"V",1,"V",7,"V",21,"V",33,"V",57,"V",70,"V",65,"V",44,"V",13,"V",4,"V",5,"V",10,"V",5,"V",4,"V",1,"V",2,"V",5,"V",2,"V",16,"V",23,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,10,18,10,"V",8,"V",8,"V",8,"V",10,"V",6,"V",13,"V",43,"V",60,"V",58,"V",35,"V",8,"V",7,"V",7,"V",5,"V",5,"V",4,"V",4,"V",5,"V",2,"V",1,"V",3,"V",10,"V",28,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,10,19,3,"V",3,"V",3,"V",1,"V",1,"V",1,"V",4,"V",6,"V",14,"V",22,"V",7,"V",10,"V",4,"V",4,"V",4,"V",4,"V",4,"V",4,"V",3,"V",2,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,10,20,2,"V",1,"V",1,"V",4,"V",1,"V",1,"V",1,"V",2,"V",2,"V",5,"V",5,"V",6,"V",3,"V",3,"V",2,"V",1,"V",2,"V",2,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,10,21,1,"V",1,"V",2,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",2,"V",2,"V",2,"V",2,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,10,22,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",3,"V",5,"V",5,"V",3,"V",1,"V",3,"V",4,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,10,23,1,"V",1,"V",2,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",2,"V",4,"V",6,"V",4,"V",3,"V",2,"V",1,"V",5,"V",1,"V",1,"V",2,"V",1,"V",4,"V",2,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,10,24,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",40,"V",57,"V",11,"V",4,"V",3,"V",2,"V",1,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,10,25,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",2,"V",2,"V",2,"V",4,"V",3,"V",2,"V",3,"V",2,"V",2,"V",2,"V",4,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,10,26,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",5,"V",5,"V",4,"V",5,"V",12,"V",25,"V",20,"V",13,"V",12,"V",6,"V",7,"V",5,"V",4,"V",1,"V",1,"V",2,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2023,10,27,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",3,"V",3,"V",4,"V",4,"V",1,"V",2,"V",3,"V",2,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
