"CODI_PROVINCIA","PROVINCIA","CODI_MUNICIPI","MUNICIPI","ESTACIO","CODI_CONTAMINANT","ANY","MES","DIA","H01","V01","H02","V02","H03","V03","H04","V04","H05","V05","H06","V06","H07","V07","H08","V08","H09","V09","H10","V10","H11","V11","H12","V12","H13","V13","H14","V14","H15","V15","H16","V16","H17","V17","H18","V18","H19","V19","H20","V20","H21","V21","H22","V22","H23","V23","H24","V24"
8,"Barcelona",19,"Barcelona",4,7,2024,1,1,3,"V",10,"V",11,"V",2,"V",3,"V",2,"V",6,"V",5,"V",1,"V",3,"V",7,"V",10,"V",10,"V",6,"V",3,"V",1,"V",1,"V",1,"V",1,"V",5,"V",15,"V",44,"V",20,"V",12,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,1,2,14,"V",6,"V",1,"V",5,"V",1,"V",10,"V",17,"V",4,"V",6,"V",18,"V",23,"V",32,"V",25,"V",13,"V",11,"V",11,"V",12,"V",5,"V",21,"V",9,"V",2,"V",3,"V",6,"V",2,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,1,3,2,"V",3,"V",1,"V",1,"V",1,"V",4,"V",3,"V",9,"V",33,"V",40,"V",46,"V",28,"V",5,"V",4,"V",8,"V",3,"V",5,"V",9,"V",37,"V",15,"V",2,"V",1,"V",2,"V",3,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,1,4,20,"V",20,"V",16,"V",12,"V",10,"V",7,"V",7,"V",18,"V",44,"V",57,"V",58,"V",54,"V",26,"V",2,"V",2,"V",2,"V",1,"V",1,"V",2,"V",2,"V",2,"V",29,"V",57,"V",47,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,1,5,29,"V",11,"V",16,"V",14,"V",21,"V",18,"V",25,"V",28,"V",NA,"N",NA,"N",44,"V",29,"V",13,"V",3,"V",2,"V",5,"V",2,"V",2,"V",1,"V",1,"V",1,"V",2,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,1,6,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",3,"V",3,"V",2,"V",3,"V",2,"V",1,"V",1,"V",1,"V",1,"V",2,"V",1,"V",2,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,1,7,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",2,"V",2,"V",3,"V",2,"V",1,"V",1,"V",1,"V",2,"V",1,"V",2,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,1,8,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",5,"V",36,"V",56,"V",15,"V",6,"V",5,"V",3,"V",4,"V",3,"V",3,"V",3,"V",14,"V",44,"V",50,"V",51,"V",32,"V",10,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,1,9,2,"V",2,"V",5,"V",4,"V",1,"V",2,"V",5,"V",30,"V",45,"V",27,"V",33,"V",36,"V",25,"V",13,"V",2,"V",1,"V",2,"V",1,"V",2,"V",3,"V",8,"V",19,"V",20,"V",12,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,1,10,5,"V",2,"V",1,"V",1,"V",1,"V",1,"V",4,"V",6,"V",13,"V",24,"V",28,"V",21,"V",39,"V",45,"V",37,"V",20,"V",22,"V",28,"V",42,"V",30,"V",35,"V",27,"V",12,"V",8,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,1,11,3,"V",11,"V",18,"V",16,"V",2,"V",4,"V",2,"V",4,"V",10,"V",7,"V",10,"V",7,"V",8,"V",5,"V",4,"V",5,"V",4,"V",2,"V",3,"V",4,"V",3,"V",2,"V",1,"V",2,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,1,12,1,"V",1,"V",1,"V",1,"V",1,"V",3,"V",3,"V",3,"V",5,"V",8,"V",8,"V",9,"V",16,"V",20,"V",7,"V",5,"V",5,"V",8,"V",4,"V",5,"V",5,"V",2,"V",5,"V",6,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,1,13,2,"V",1,"V",2,"V",1,"V",2,"V",3,"V",3,"V",5,"V",10,"V",19,"V",24,"V",17,"V",17,"V",13,"V",14,"V",9,"V",3,"V",3,"V",2,"V",4,"V",14,"V",6,"V",13,"V",2,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,1,14,1,"V",1,"V",3,"V",2,"V",3,"V",1,"V",9,"V",2,"V",1,"V",2,"V",3,"V",5,"V",3,"V",6,"V",10,"V",5,"V",2,"V",8,"V",4,"V",2,"V",1,"V",1,"V",2,"V",2,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,1,15,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",5,"V",29,"V",53,"V",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",14,"V",25,"V",76,"V",39,"V",8,"V",7,"V",25,"V",11,"V",31,"V",29,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,1,16,59,"V",38,"V",23,"V",8,"V",5,"V",7,"V",38,"V",25,"V",15,"V",NA,"N",NA,"N",59,"V",38,"V",43,"V",23,"V",23,"V",20,"V",33,"V",63,"V",35,"V",50,"V",95,"V",112,"V",105,"V"
